@relation KI_Test_sarcasm-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement-V

@attribute chars numeric
@attribute UPPERCASE numeric
@attribute LOWERCASE numeric
@attribute dot numeric
@attribute comma numeric
@attribute '?' numeric
@attribute ! numeric
@attribute '\'' numeric
@attribute ` numeric
@attribute amount_adjective.txt numeric
@attribute amount_adverb.txt numeric
@attribute amount_article.txt numeric
@attribute amount_comparative.txt numeric
@attribute amount_conjunction.txt numeric
@attribute amount_interjection.txt numeric
@attribute amount_nouns.txt numeric
@attribute amount_numeral.txt numeric
@attribute amount_superlative.txt numeric
@attribute amount_verbs.txt numeric
@attribute profanity_prob.txt numeric
@attribute class {ironisch,normal}

@data
932,17,681,9,6,0,0,4,0,12,16,22,1,6,0,37,7,0,30,0.049561,normal
1223,20,898,17,14,0,1,12,2,16,10,27,1,11,0,57,2,0,32,0.004316,normal
544,20,383,5,12,1,1,0,0,7,8,9,0,3,1,19,1,1,21,0.333907,ironisch
1933,31,1468,21,9,0,0,12,6,23,25,51,1,8,0,87,3,2,56,0.047626,ironisch
1019,40,692,27,4,0,0,8,4,17,8,22,0,7,0,47,2,1,36,0.067154,normal
1326,22,979,10,11,2,3,11,6,17,20,25,1,10,0,46,2,0,43,0.25802,ironisch
884,21,649,8,8,0,0,3,0,13,14,20,2,4,0,33,4,0,30,0.024491,normal
304,7,238,4,1,0,0,0,0,3,3,6,0,1,0,14,0,0,8,0.054771,normal
1980,66,1423,16,23,0,0,10,10,28,19,40,3,20,0,103,8,1,53,0.011194,normal
3546,130,2424,45,32,2,2,26,12,43,67,77,4,25,1,131,19,1,127,0.002485,normal
663,14,492,3,1,1,0,3,0,14,9,11,0,8,0,30,0,1,22,0.036133,ironisch
1513,109,990,8,20,1,7,10,8,25,15,15,3,6,0,102,2,2,35,0.016213,ironisch
2945,64,2220,19,31,1,0,22,16,46,26,49,2,15,3,150,4,3,69,0.126463,normal
1903,54,1317,35,11,0,0,28,11,22,19,35,0,13,1,103,5,4,66,0.419633,normal
1803,19,1434,8,12,0,0,9,4,33,12,29,1,13,0,80,2,0,46,0.008827,normal
631,11,489,5,1,0,0,6,0,7,7,10,0,6,0,26,1,0,22,0.078409,normal
1162,16,872,7,11,0,0,11,0,12,17,28,1,8,0,47,1,0,43,0.002487,ironisch
437,7,331,4,6,0,0,0,0,4,8,6,0,3,1,16,0,0,10,0.01782,normal
1206,38,897,10,6,0,0,2,0,14,11,26,0,4,0,64,0,0,41,0.105915,ironisch
4172,98,3186,24,32,1,0,16,14,62,38,92,2,20,0,203,14,3,93,0.001405,normal
1806,56,1342,17,21,0,1,4,0,24,19,32,2,17,0,95,8,1,40,0.004683,normal
1537,65,1062,14,25,6,5,24,12,20,21,24,0,7,1,72,1,2,51,0.067519,ironisch
4732,93,3544,45,36,0,2,33,0,87,66,84,4,29,1,168,3,2,166,0.008154,normal
141,3,99,4,1,0,1,0,0,2,4,4,0,0,0,6,0,0,3,0.019879,ironisch
163,2,122,2,0,0,0,0,0,2,2,6,0,0,0,9,1,0,3,0.015711,ironisch
